algorithm,run,best_cost,runtime_s
HC_plain,1,819.0471,1.0469
HC_plain,2,809.682,1.0364
HC_plain,3,870.7756,1.0524
HC_plain,4,841.651,1.1166
HC_plain,5,859.2131,1.0281
HC_plain,6,857.5315,1.0373
HC_plain,7,806.726,1.033
HC_plain,8,856.5432,1.0403
HC_plain,9,835.7257,1.0863
HC_plain,10,860.0311,1.0256
HC_plain,11,842.4634,1.0387
HC_plain,12,838.4941,1.0749
HC_plain,13,829.5778,1.0637
HC_plain,14,833.389,1.0486
HC_plain,15,849.2018,1.0315
HC_plain,16,785.2406,1.0277
HC_plain,17,811.088,1.0299
HC_plain,18,829.3274,1.0268
HC_plain,19,815.1813,1.0207
HC_plain,20,849.3678,1.0287
HC_plain,21,833.7892,1.0274
HC_plain,22,846.1219,1.0311
HC_plain,23,839.6831,1.0188
HC_plain,24,808.6636,1.0406
HC_plain,25,854.4194,1.0804
HC_plain,26,844.1131,1.0659
HC_plain,27,821.2757,1.0405
HC_plain,28,823.8473,1.0502
HC_plain,29,822.5541,1.0551
HC_plain,30,855.918,1.0577
HC_restart,1,809.6444,1.0936
HC_restart,2,847.9004,1.0472
HC_restart,3,839.2656,1.0538
HC_restart,4,837.6204,1.0436
HC_restart,5,819.3183,1.0394
HC_restart,6,842.4092,1.1054
HC_restart,7,845.0246,1.0806
HC_restart,8,817.8204,1.0284
HC_restart,9,842.0378,1.0371
HC_restart,10,812.5363,1.0405
HC_restart,11,811.6429,1.0416
HC_restart,12,826.0778,1.0519
HC_restart,13,824.7179,1.0322
HC_restart,14,808.2453,1.0475
HC_restart,15,824.1896,1.0609
HC_restart,16,833.8489,1.0251
HC_restart,17,854.3525,1.0305
HC_restart,18,843.9048,1.0261
HC_restart,19,818.6526,1.029
HC_restart,20,812.4716,1.0291
HC_restart,21,836.8757,1.0327
HC_restart,22,844.9558,1.0278
HC_restart,23,841.0077,1.0366
HC_restart,24,842.0833,1.0315
HC_restart,25,810.7389,1.0272
HC_restart,26,807.5902,1.0286
HC_restart,27,837.5533,1.0251
HC_restart,28,831.6107,1.0282
HC_restart,29,828.9476,1.0314
HC_restart,30,849.1098,1.0218
SA_fast,1,899.4259,0.156
SA_fast,2,984.3279,0.1615
SA_fast,3,954.6004,0.159
SA_fast,4,921.1289,0.1597
SA_fast,5,915.0532,0.1605
SA_fast,6,967.0673,0.159
SA_fast,7,943.2575,0.1611
SA_fast,8,923.2742,0.159
SA_fast,9,928.5569,0.1588
SA_fast,10,973.1289,0.159
SA_fast,11,916.8743,0.16
SA_fast,12,951.4801,0.1592
SA_fast,13,910.532,0.157
SA_fast,14,968.5381,0.1586
SA_fast,15,935.212,0.1605
SA_fast,16,911.5524,0.16
SA_fast,17,898.9084,0.1601
SA_fast,18,941.5755,0.1589
SA_fast,19,930.8092,0.161
SA_fast,20,946.8629,0.1602
SA_fast,21,917.4995,0.162
SA_fast,22,982.6022,0.1615
SA_fast,23,917.5087,0.1586
SA_fast,24,977.8217,0.1587
SA_fast,25,964.4656,0.1597
SA_fast,26,982.4723,0.157
SA_fast,27,940.7881,0.1591
SA_fast,28,929.6008,0.1568
SA_fast,29,911.5011,0.1566
SA_fast,30,920.2787,0.1576
SA_slow,1,795.5139,1.1176
SA_slow,2,787.663,1.1192
SA_slow,3,818.2688,1.1193
SA_slow,4,790.5751,1.1196
SA_slow,5,838.0201,1.1224
SA_slow,6,806.3005,1.1243
SA_slow,7,818.4782,1.1199
SA_slow,8,814.5777,1.1278
SA_slow,9,801.7063,1.1253
SA_slow,10,824.7866,1.1287
SA_slow,11,807.3423,1.1315
SA_slow,12,827.7883,1.1263
SA_slow,13,820.0562,1.1246
SA_slow,14,805.3265,1.1547
SA_slow,15,815.2765,1.1625
SA_slow,16,817.0144,1.2049
SA_slow,17,835.0081,1.1154
SA_slow,18,814.8867,1.1248
SA_slow,19,813.5802,1.1323
SA_slow,20,824.6951,1.1234
SA_slow,21,850.6783,1.1229
SA_slow,22,837.7819,1.1136
SA_slow,23,804.2234,1.1231
SA_slow,24,803.5042,1.1263
SA_slow,25,805.7449,1.1227
SA_slow,26,833.4291,1.1298
SA_slow,27,799.2557,1.1369
SA_slow,28,817.4212,1.1351
SA_slow,29,781.9809,1.1318
SA_slow,30,849.1373,1.1303
TA,1,867.0092,1.042
TA,2,848.655,1.0331
TA,3,916.7571,1.0355
TA,4,859.4362,1.0415
TA,5,875.9037,1.0386
TA,6,844.6703,1.0359
TA,7,867.458,1.0409
TA,8,859.4841,1.0405
TA,9,838.5189,1.034
TA,10,887.3967,1.0351
TA,11,827.0659,1.0324
TA,12,843.5852,1.0396
TA,13,861.0994,1.0731
TA,14,859.738,1.0391
TA,15,877.6727,1.0351
TA,16,824.1373,1.0375
TA,17,880.475,1.0316
TA,18,888.0955,1.0298
TA,19,856.9589,1.0295
TA,20,824.4834,1.0329
TA,21,872.2011,1.0207
TA,22,871.9259,1.0231
TA,23,831.7341,1.0261
TA,24,841.4476,1.0261
TA,25,846.7279,1.0252
TA,26,825.2004,1.0263
TA,27,837.0077,1.0215
TA,28,826.8207,1.0208
TA,29,833.6507,1.0293
TA,30,831.1263,1.0264
