algorithm,run,best_cost,runtime_s
HC_plain,1,819.0471,1.163
HC_plain,2,809.682,1.1519
HC_plain,3,870.7756,1.167
HC_plain,4,841.651,1.1559
HC_plain,5,859.2131,1.1542
HC_plain,6,857.5315,1.1669
HC_plain,7,806.726,1.1632
HC_plain,8,856.5432,1.1707
HC_plain,9,835.7257,1.1626
HC_plain,10,860.0311,1.1607
HC_plain,11,842.4634,1.1547
HC_plain,12,838.4941,1.1774
HC_plain,13,829.5778,1.1645
HC_plain,14,833.389,1.1534
HC_plain,15,849.2018,1.1637
HC_plain,16,785.2406,1.1465
HC_plain,17,811.088,1.158
HC_plain,18,829.3274,1.1755
HC_plain,19,815.1813,1.1571
HC_plain,20,849.3678,1.1559
HC_plain,21,833.7892,1.1528
HC_plain,22,846.1219,1.1497
HC_plain,23,839.6831,1.1557
HC_plain,24,808.6636,1.1638
HC_plain,25,854.4194,1.1508
HC_plain,26,844.1131,1.1656
HC_plain,27,821.2757,1.177
HC_plain,28,823.8473,1.1607
HC_plain,29,822.5541,1.1782
HC_plain,30,855.918,1.1681
HC_restart,1,809.6444,1.1786
HC_restart,2,847.9004,1.1941
HC_restart,3,839.2656,1.1673
HC_restart,4,837.6204,1.195
HC_restart,5,819.3183,1.1763
HC_restart,6,842.4092,1.1751
HC_restart,7,845.0246,1.1971
HC_restart,8,817.8204,1.1869
HC_restart,9,842.0378,1.1791
HC_restart,10,812.5363,1.1962
HC_restart,11,811.6429,1.1755
HC_restart,12,826.0778,1.1911
HC_restart,13,824.7179,1.1905
HC_restart,14,808.2453,1.1915
HC_restart,15,824.1896,1.1961
HC_restart,16,833.8489,1.175
HC_restart,17,854.3525,1.1774
HC_restart,18,843.9048,1.1747
HC_restart,19,818.6526,1.1791
HC_restart,20,812.4716,1.1836
HC_restart,21,836.8757,1.2029
HC_restart,22,844.9558,1.1779
HC_restart,23,841.0077,1.1554
HC_restart,24,842.0833,1.159
HC_restart,25,810.7389,1.1573
HC_restart,26,807.5902,1.1676
HC_restart,27,837.5533,1.1516
HC_restart,28,831.6107,1.146
HC_restart,29,828.9476,1.1567
HC_restart,30,849.1098,1.1652
SA_fast,1,899.4259,0.1786
SA_fast,2,984.3279,0.1793
SA_fast,3,954.6004,0.1743
SA_fast,4,921.1289,0.1765
SA_fast,5,915.0532,0.1753
SA_fast,6,967.0673,0.1782
SA_fast,7,943.2575,0.1778
SA_fast,8,923.2742,0.1776
SA_fast,9,928.5569,0.1769
SA_fast,10,973.1289,0.1785
SA_fast,11,916.8743,0.178
SA_fast,12,951.4801,0.1781
SA_fast,13,910.532,0.1885
SA_fast,14,968.5381,0.1978
SA_fast,15,935.212,0.1766
SA_fast,16,911.5524,0.1755
SA_fast,17,898.9084,0.1811
SA_fast,18,941.5755,0.1764
SA_fast,19,930.8092,0.1767
SA_fast,20,946.8629,0.1754
SA_fast,21,917.4995,0.1786
SA_fast,22,982.6022,0.1768
SA_fast,23,917.5087,0.1792
SA_fast,24,977.8217,0.1766
SA_fast,25,964.4656,0.1767
SA_fast,26,982.4723,0.1765
SA_fast,27,940.7881,0.1769
SA_fast,28,929.6008,0.1753
SA_fast,29,911.5011,0.1768
SA_fast,30,920.2787,0.1778
SA_slow,1,795.5139,1.2586
SA_slow,2,787.663,1.2481
SA_slow,3,818.2688,1.2499
SA_slow,4,790.5751,1.2616
SA_slow,5,838.0201,1.2665
SA_slow,6,806.3005,1.2534
SA_slow,7,818.4782,1.2531
SA_slow,8,814.5777,1.2603
SA_slow,9,801.7063,1.2436
SA_slow,10,824.7866,1.2686
SA_slow,11,807.3423,1.2561
SA_slow,12,827.7883,1.2456
SA_slow,13,820.0562,1.2532
SA_slow,14,805.3265,1.2443
SA_slow,15,815.2765,1.2567
SA_slow,16,817.0144,1.2525
SA_slow,17,835.0081,1.2585
SA_slow,18,814.8867,1.2463
SA_slow,19,813.5802,1.2567
SA_slow,20,824.6951,1.2535
SA_slow,21,850.6783,1.272
SA_slow,22,837.7819,1.2478
SA_slow,23,804.2234,1.256
SA_slow,24,803.5042,1.2515
SA_slow,25,805.7449,1.2515
SA_slow,26,833.4291,1.2522
SA_slow,27,799.2557,1.2572
SA_slow,28,817.4212,1.2583
SA_slow,29,781.9809,1.2598
SA_slow,30,849.1373,1.2817
TA,1,867.0092,1.172
TA,2,848.655,1.1743
TA,3,916.7571,1.1644
TA,4,859.4362,1.1652
TA,5,875.9037,1.1718
TA,6,844.6703,1.1688
TA,7,867.458,1.1563
TA,8,859.4841,1.1745
TA,9,838.5189,1.1508
TA,10,887.3967,1.1494
TA,11,827.0659,1.1523
TA,12,843.5852,1.1518
TA,13,861.0994,1.159
TA,14,859.738,1.1557
TA,15,877.6727,1.1563
TA,16,824.1373,1.1607
TA,17,880.475,1.157
TA,18,888.0955,1.1814
TA,19,856.9589,1.1558
TA,20,824.4834,1.1533
TA,21,872.2011,1.1496
TA,22,871.9259,1.1435
TA,23,831.7341,1.1527
TA,24,841.4476,1.1508
TA,25,846.7279,1.152
TA,26,825.2004,1.1536
TA,27,837.0077,1.1524
TA,28,826.8207,1.1462
TA,29,833.6507,1.1591
TA,30,831.1263,1.1678
